RefDes     X          Y          Rot.       Exact     (FREE)    Side
P6         28.4500    04.5000    180        EXACT     (FREE)    Top                           
R1         57.4250    67.7250    090        EXACT     (FREE)    Top                           
R2         60.6750    65.7750    270        EXACT     (FREE)    Top                           
R3         77.9000    08.2250    000        EXACT     (FREE)    Top                           
R4         57.4250    65.7750    090        EXACT     (FREE)    Top                           
R5         88.2000    56.6500    270        EXACT     (FREE)    Top                           
R6         87.5000    65.4250    000        EXACT     (FREE)    Top                           
R7         77.0250    38.3000    000        EXACT     (FREE)    Top                           
R8         78.2250    39.6000    000        EXACT     (FREE)    Top                           
R9         78.5000    42.1250    000        EXACT     (FREE)    Top                           
R10        77.3500    42.1250    180        EXACT     (FREE)    Top                           
R11        -02.4750   58.7750    180        EXACT     (FREE)    Top                           
R12        86.7250    58.6250    180        EXACT     (FREE)    Top                           
R13        84.7750    18.5250    090        EXACT     (FREE)    Top                           
R14        84.2250    18.5250    090        EXACT     (FREE)    Top                           
R15        87.1250    -04.0000   000        EXACT     (FREE)    Top                           
R16        86.3500    05.9000    270        EXACT     (FREE)    Top                           
R17        82.0500    05.9000    270        EXACT     (FREE)    Top                           
R18        74.6000    02.5500    090        EXACT     (FREE)    Top                           
R19        -02.7250   09.0500    270        EXACT     (FREE)    Top                           
R20        10.2250    28.9250    090        EXACT     (FREE)    Top                           
R21        17.9250    29.7750    180        EXACT     (FREE)    Top                           
R22        23.2750    40.1500    180        EXACT     (FREE)    Top                           
R23        03.7750    38.6000    000        EXACT     (FREE)    Top                           
R24        04.3250    34.6000    000        EXACT     (FREE)    Top                           
R25        09.2500    14.7500    180        EXACT     (FREE)    Top                           
R26        17.0500    14.7500    180        EXACT     (FREE)    Top                           
R27        36.0500    07.7000    000        EXACT     (FREE)    Top                           
R28        36.0500    09.3000    180        EXACT     (FREE)    Top                           
R29        -00.5250   22.1000    180        EXACT     (FREE)    Top                           
R30        57.4250    68.8750    090        EXACT     (FREE)    Top                           
R31        45.4750    10.4500    000        EXACT     (FREE)    Top                           
R32        46.2500    07.7750    090        EXACT     (FREE)    Top                           
R33        47.9000    10.1750    090        EXACT     (FREE)    Top                           
R34        48.8000    07.7750    090        EXACT     (FREE)    Top                           
R35        17.9000    32.4750    180        EXACT     (FREE)    Top                           
R36        77.9250    09.5500    270        EXACT     (FREE)    Top                           
R37        78.7750    10.9500    000        EXACT     (FREE)    Top                           
R38        79.6250    09.5500    270        EXACT     (FREE)    Top                           
R39        65.9250    36.9250    090        EXACT     (FREE)    Top                           
R40        94.4750    44.4750    270        EXACT     (FREE)    Top                           
R41        -04.7000   26.0750    000        EXACT     (FREE)    Top                           
R42        -05.8000   27.9000    090        EXACT     (FREE)    Top                           
R43        -05.8000   29.7250    270        EXACT     (FREE)    Top                           
R44        -04.7000   31.5250    000        EXACT     (FREE)    Top                           
R45        40.3250    57.4000    000        EXACT     (FREE)    Top                           
R46        44.3500    53.7500    090        EXACT     (FREE)    Top                           
R47        14.5500    47.5750    090        EXACT     (FREE)    Top                           
R48        14.5500    46.1750    090        EXACT     (FREE)    Top                           
R49        35.7500    54.4250    000        EXACT     (FREE)    Top                           
R50        48.4250    53.4500    090        EXACT     (FREE)    Top                           
R51        12.7250    26.4750    270        EXACT     (FREE)    Top                           
R52        63.1000    34.8500    270        EXACT     (FREE)    Top                           
R53        61.4500    34.8500    090        EXACT     (FREE)    Top                           
R54        78.7750    09.8250    000        EXACT     (FREE)    Top                           
R55        55.3750    58.7750    000        EXACT     (FREE)    Top                           
R56        85.9500    -03.6000   090        EXACT     (FREE)    Top                           
R57        78.5000    10.1000    090        EXACT     (FREE)    Top                           
R58        68.0750    -00.5000   000        EXACT     (FREE)    Top                           
R59        14.5750    49.4750    270        EXACT     (FREE)    Top                           
R60        88.3000    -03.6000   090        EXACT     (FREE)    Top                           
R61        100.7500   22.2500    090        EXACT     (FREE)    Top                           
R62        70.6000    00.9000    270        EXACT     (FREE)    Top                           
R63        71.1500    00.9000    090        EXACT     (FREE)    Top                           
R64        71.7000    00.3500    270        EXACT     (FREE)    Top                           
R65        68.6500    -01.0750   000        EXACT     (FREE)    Top                           
R66        74.8750    02.8250    180        EXACT     (FREE)    Top                           
R67        71.8750    02.6500    000        EXACT     (FREE)    Top                           
R68        72.2500    00.9000    270        EXACT     (FREE)    Top                           
R69        72.4250    02.6500    000        EXACT     (FREE)    Top                           
R70        72.2500    00.3500    090        EXACT     (FREE)    Top                           
R71        17.9000    33.0250    180        EXACT     (FREE)    Top                           
R72        65.4250    20.8000    000        EXACT     (FREE)    Top                           
R73        64.2750    20.8000    180        EXACT     (FREE)    Top                           
R74        21.9250    18.7500    000        EXACT     (FREE)    Top                           
R75        59.4250    04.7000    090        EXACT     (FREE)    Top                           
R76        68.7500    23.7000    270        EXACT     (FREE)    Top                           
R77        78.7250    06.2000    000        EXACT     (FREE)    Top                           
R78        78.7250    06.7500    000        EXACT     (FREE)    Top                           
R79        79.0000    07.6000    270        EXACT     (FREE)    Top                           
R80        68.0000    02.3500    180        EXACT     (FREE)    Top                           
R81        65.3500    01.8250    270        EXACT     (FREE)    Top                           
R82        64.8000    01.8250    270        EXACT     (FREE)    Top                           
R83        40.7250    57.8000    270        EXACT     (FREE)    Top                           
R98        84.7000    09.5500    270        EXACT     (FREE)    Top                           
R100       84.7000    -02.4250   270        EXACT     (FREE)    Top                           
S1         -00.8000   17.5000    000        EXACT     (FREE)    Top                           
S2         02.2000    47.5000    000        EXACT     (FREE)    Top                           
S3         -01.6750   28.8000    090        EXACT     (FREE)    Top                           
S4         62.6750    40.8500    180        EXACT     (FREE)    Top                           
S5         62.2750    32.8750    180        EXACT     (FREE)    Top                           
SB1        09.3000    14.7500    270        EXACT     (FREE)    Bottom                        
SB2        17.0500    14.7500    270        EXACT     (FREE)    Bottom                        
SB3        36.0500    07.7000    090        EXACT     (FREE)    Bottom                        
SB4        36.0500    09.3000    270        EXACT     (FREE)    Bottom                        
SB5        47.1500    10.4500    270        EXACT     (FREE)    Bottom                        
SB6        47.1500    08.5500    270        EXACT     (FREE)    Bottom                        
SB7        49.6750    10.4500    270        EXACT     (FREE)    Bottom                        
SB8        49.7000    08.5500    270        EXACT     (FREE)    Bottom                        
SB9        23.1500    18.4000    000        EXACT     (FREE)    Bottom                        
SB10       88.5500    56.8000    090        EXACT     (FREE)    Bottom                        
SB11       01.4000    22.4500    000        EXACT     (FREE)    Bottom                        
SB12       02.7500    22.4500    000        EXACT     (FREE)    Bottom                        
SB13       86.3500    57.3000    180        EXACT     (FREE)    Bottom                        
SB14       85.1500    58.0000    000        EXACT     (FREE)    Bottom                        
