RefDes     X          Y          Rot.       Exact     (FREE)    Side
R54        78.7750    09.8250    000        EXACT     (FREE)    Top                           
R56        85.9500    -03.6000   090        EXACT     (FREE)    Top                           
R57        78.5000    10.1000    270        EXACT     (FREE)    Top                           
R60        88.3000    -03.6000   090        EXACT     (FREE)    Top                           
R61        100.7500   22.2500    090        EXACT     (FREE)    Top                           
R67        63.0500    02.0000    180        EXACT     (FREE)    Top                           
R74        57.9750    06.7500    270        EXACT     (FREE)    Top                           
R75        67.1500    01.8000    270        EXACT     (FREE)    Top                           
R98        84.7000    09.5500    270        EXACT     (FREE)    Top                           
R100       84.7000    -02.4250   270        EXACT     (FREE)    Top                           
S1         -00.8000   17.5000    000        EXACT     (FREE)    Top                           
SB10       71.3500    39.3250    000        EXACT     (FREE)    Bottom                        
SB11       46.8500    06.9250    000        EXACT     (FREE)    Bottom                        
SB12       48.2000    06.9250    000        EXACT     (FREE)    Bottom                        
SB13       69.3750    38.0500    270        EXACT     (FREE)    Bottom                        
SB14       69.3750    39.6000    270        EXACT     (FREE)    Bottom                        
SB16       45.3000    10.5250    180        EXACT     (FREE)    Bottom                        
ST3        68.7750    26.7750    270        EXACT     (FREE)    Top                           
TP1        71.4500    18.0000    000        EXACT     (FREE)    Bottom                        
TP2        71.5500    19.7000    000        EXACT     (FREE)    Bottom                        
TP3        70.7500    19.7000    000        EXACT     (FREE)    Bottom                        
TP4        72.3500    19.7000    000        EXACT     (FREE)    Bottom                        
TP5        73.1500    19.7000    000        EXACT     (FREE)    Bottom                        
U1         68.3500    11.8250    000        EXACT     (FREE)    Top                           
U2         54.2000    30.8000    270        EXACT     (FREE)    Top                           
U3         61.4500    32.0500    270        EXACT     (FREE)    Top                           
U4         61.2750    25.0000    180        EXACT     (FREE)    Top                           
U5         45.1000    18.6750    270        EXACT     (FREE)    Top                           
U6         -02.2250   37.8500    090        EXACT     (FREE)    Top                           
U8         54.0000    05.8250    090        EXACT     (FREE)    Top                           
U10        54.0000    11.2250    090        EXACT     (FREE)    Top                           
U16        43.0000    29.7250    000        EXACT     (FREE)    Top                           
U18        84.7000    -00.6000   090        EXACT     (FREE)    Top                           
U21        84.7000    03.4000    270        EXACT     (FREE)    Top                           
U22        84.7000    07.5250    270        EXACT     (FREE)    Top                           
X1         00.0000    00.0000    000        EXACT     (FREE)    Top                           
X2         00.0000    70.0000    000        EXACT     (FREE)    Top                           
X3         78.0000    70.0000    000        EXACT     (FREE)    Top                           
X4         78.0000    00.0000    000        EXACT     (FREE)    Top                           
X5         103.0000   50.0000    000        EXACT     (FREE)    Top                           
Y1         31.7750    22.7000    270        EXACT     (FREE)    Top                           
