SEQUANS PAP option for HWPT011X6.pcb on 17/01/2024 10:53:29


Assembly Option: BaseOption

Name     PCB Decal  Value    Layer Name                     Position X Position Y Orientatio 
--------------------------------------------------------------------------------------------
R46      0402_0M40  0R0      Top                            63.575     28.375     270        
R47      0201_0M28  2K2      Top                            43.900     25.500     180        
R48      0201_0M28  10K      Top                            45.075     25.500     180        
R49      0201_0M28  220R     Top                            52.375     28.450     0          
R50      0402_0M40  0R0      Top                            65.200     23.025     270        
R54      0201_0M28  0R0      Top                            78.775     9.825      0          
R56      0402_0M60  12n      Top                            85.950     -3.600     90         
R57      0201_0M28  NF       Top                            78.500     10.100     270        
R58      0201_0M28  NF       Top                            68.075     -0.500     0          
R60      0402_0M50  0p4      Top                            88.300     -3.600     90         
R61      0603_0M60  NF       Top                            100.750    22.250     90         
R62      0201_0M28  0R0      Top                            70.600     0.900      270        
R63      0201_0M28  0R0      Top                            71.150     0.900      90         
R64      0201_0M28  0R0      Top                            71.700     0.350      270        
R65      0201_0M28  0R0      Top                            68.650     -1.075     0          
R66      0201_0M28  0R0      Top                            74.620     2.532      90         
R67      0402_0M40  0R0      Top                            63.050     2.000      180        
R68      0201_0M28  0R0      Top                            72.250     0.900      270        
R69      0201_0M28  0R0      Top                            72.425     2.650      180        
R70      0201_0M28  0R0      Top                            72.250     0.350      270        
R74      0201_0M28  100K     Top                            57.975     6.750      270        
R75      0201_0M28  100K     Top                            67.150     1.800      270        
R98      0201_0M28  0R0      Top                            84.700     9.550      270        
R100     0201_0M28  0R0      Top                            84.700     -2.425     270        
S1       SW_TACT_1P TPA11CGR Top                            -0.800     17.500     0          
SB10     STRAP_1M0_ CLOSED   Bottom                         71.350     39.325     0          
SB11     STRAP_1M0_ CLOSED   Bottom                         46.850     6.925      0          
SB12     STRAP_1M0_ OPEN     Bottom                         48.200     6.925      0          
SB13     STRAP_1M0_ OPEN     Bottom                         69.375     38.050     270        
SB14     STRAP_1M0_ CLOSED   Bottom                         69.375     39.600     270        
SB16     STRAP_1M0_ OPEN     Bottom                         45.300     10.525     180        
ST3      CON2_SIL_2 NF       Top                            68.775     26.775     270        
TP1      TP_C0M3_N           Bottom                         71.450     18.000     0          
TP2      TP_C0M3_N           Bottom                         71.550     19.700     0          
TP3      TP_C0M3_N           Bottom                         70.750     19.700     0          
TP4      TP_C0M3_N           Bottom                         72.350     19.700     0          
TP5      TP_C0M3_N           Bottom                         73.150     19.700     0          
U1       MOD_GM02S  GM02S    Top                            68.350     11.825     0          
U2       MSOP8-C    TPS2065  Top                            54.200     30.800     270        
U3       LLP-6      LP38692- Top                            61.450     32.050     270        
U4       SOT23-5_SO TPS73618 Top                            61.275     25.000     180        
U5       TQFP10X10- FT4232HL Top                            45.100     18.675     270        
U6       SOT666     USBLC6-2 Top                            -2.225     37.850     90         
U8       TSSOP-14   TXS0104E Top                            54.000     5.825      90         
U10      TSSOP-14   TXS0104E Top                            54.000     11.225     90         
U14      MXDLN16T   MXDLN16T Top                            73.100     1.925      180        
U16      SO8        NF       Top                            43.000     29.725     0          
U18      SKY_2X2_15 SKY13414 Top                            84.700     -0.600     90         
U21      BGA50_2X2- 74LVC1G0 Top                            84.700     3.400      270        
U22      SKY_2X2_15 SKY13414 Top                            84.700     7.525      270        
X1       H3M2_C30_N          Top                            0.000      0.000      0          
X2       H3M2_C30_N          Top                            0.000      70.000     0          
X3       H3M2_C30_N          Top                            78.000     70.000     0          
X4       H3M2_C30_N          Top                            78.000     0.000      0          
X5       H3M2_C30_N          Top                            103.000    50.000     0          
Y1       XTAL_HC49_ 12.000MH Top                            31.775     22.700     270        
--------------------------------------------------------------------------------------------
